streams/0/socket,streams/0/start,streams/0/end,streams/0/seconds,streams/0/bytes,streams/0/bits_per_second,streams/0/omitted,streams/0/sender,sum/start,sum/end,sum/seconds,sum/bytes,sum/bits_per_second,sum/omitted,sum/sender
5,0,1.000007,1.0000070333480835,122527,980209.105848164,false,false,0,1.000007,1.0000070333480835,122527,980209.105848164,false,false
5,1.000007,2.000008,1.0000009536743164,120631,965047.079659386,false,false,1.000007,2.000008,1.0000009536743164,120631,965047.079659386,false,false
5,2.000008,3.000008,1,132422,1059376,false,false,2.000008,3.000008,1,132422,1059376,false,false
5,3.000008,4.00001,1.0000020265579224,136573,1092581.785819726,false,false,3.000008,4.00001,1.0000020265579224,136573,1092581.785819726,false,false
5,4.00001,5.00001,1,137040,1096320,false,false,4.00001,5.00001,1,137040,1096320,false,false
5,5.00001,6.000008,0.9999979734420776,136612,1092898.2148215356,false,false,5.00001,6.000008,0.9999979734420776,136612,1092898.2148215356,false,false
5,6.000008,7.000006,0.9999979734420776,136645,1093162.2153565479,false,false,6.000008,7.000006,0.9999979734420776,136645,1093162.2153565479,false,false
5,7.000006,8.000007,1.0000009536743164,131796,1054366.9944772774,false,false,7.000006,8.000007,1.0000009536743164,131796,1054366.9944772774,false,false
5,8.000007,9.000009,1.0000020265579224,137693,1101541.7676618039,false,false,8.000007,9.000009,1.0000020265579224,137693,1101541.7676618039,false,false
5,9.000009,10.000009,1,137648,1101184,false,false,9.000009,10.000009,1,137648,1101184,false,false
5,10.000009,11.000005,0.9999960064888,137464,1099716.3917297272,false,false,10.000009,11.000005,0.9999960064888,137464,1099716.3917297272,false,false
5,11.000005,12.000009,1.0000040531158447,128071,1024563.8473240365,false,false,11.000005,12.000009,1.0000040531158447,128071,1024563.8473240365,false,false
5,12.000009,13.00001,1.0000009536743164,134491,1075926.9739160787,false,false,12.000009,13.00001,1.0000009536743164,134491,1075926.9739160787,false,false
5,13.00001,14.000005,0.9999949932098389,137034,1096277.488831345,false,false,13.00001,14.000005,0.9999949932098389,137034,1096277.488831345,false,false
5,14.000005,15.000005,1,131901,1055208,false,false,14.000005,15.000005,1,131901,1055208,false,false
5,15.000005,16.000008,1.0000029802322388,129427,1035412.9142290526,false,false,15.000005,16.000008,1.0000029802322388,129427,1035412.9142290526,false,false
5,16.000008,17.000006,0.9999979734420776,134236,1073890.1763006446,false,false,16.000008,17.000006,0.9999979734420776,134236,1073890.1763006446,false,false
5,17.000006,18.00001,1.0000040531158447,134969,1079747.6236577982,false,false,17.000006,18.00001,1.0000040531158447,134969,1079747.6236577982,false,false
5,18.00001,19.000009,0.9999989867210388,133732,1069857.0840636748,false,false,18.00001,19.000009,0.9999989867210388,133732,1069857.0840636748,false,false
5,19.000009,20.000006,0.9999970197677612,134726,1077811.2121277216,false,false,19.000009,20.000006,0.9999970197677612,134726,1077811.2121277216,false,false
5,20.000006,21.000009,1.0000029802322388,134660,1077276.789464982,false,false,20.000006,21.000009,1.0000029802322388,134660,1077276.789464982,false,false
5,21.000009,22.000009,1,135052,1080416,false,false,21.000009,22.000009,1,135052,1080416,false,false
5,22.000009,23.000009,1,134255,1074040,false,false,22.000009,23.000009,1,134255,1074040,false,false
5,23.000009,24.000007,0.9999979734420776,134658,1077266.183142318,false,false,23.000009,24.000007,0.9999979734420776,134658,1077266.183142318,false,false
5,24.000007,25.000009,1.0000020265579224,133081,1064645.8424335334,false,false,24.000007,25.000009,1.0000020265579224,133081,1064645.8424335334,false,false
5,25.000009,26.00001,1.0000009536743164,135737,1085894.9644098622,false,false,25.000009,26.00001,1.0000009536743164,135737,1085894.9644098622,false,false
5,26.00001,27.000007,0.9999970197677612,137203,1097627.2711841797,false,false,26.00001,27.000007,0.9999970197677612,137203,1097627.2711841797,false,false
5,27.000007,28.000006,0.9999989867210388,135357,1082857.0972363146,false,false,27.000007,28.000006,0.9999989867210388,135357,1082857.0972363146,false,false
5,28.000006,29.000009,1.0000029802322388,134777,1078212.786675493,false,false,28.000006,29.000009,1.0000029802322388,134777,1078212.786675493,false,false
5,29.000009,30.000008,0.9999989867210388,135684,1085473.099887055,false,false,29.000009,30.000008,0.9999989867210388,135684,1085473.099887055,false,false
5,30.000008,31.000014,1.0000059604644775,133690,1069513.6252020288,false,false,30.000008,31.000014,1.0000059604644775,133690,1069513.6252020288,false,false
5,31.000014,32.000006,0.9999920129776001,133414,1067320.5247129388,false,false,31.000014,32.000006,0.9999920129776001,133414,1067320.5247129388,false,false
