streams/0/socket,streams/0/start,streams/0/end,streams/0/seconds,streams/0/bytes,streams/0/bits_per_second,streams/0/retransmits,streams/0/snd_cwnd,streams/0/rtt,streams/0/rttvar,streams/0/pmtu,streams/0/omitted,streams/0/sender,sum/start,sum/end,sum/seconds,sum/bytes,sum/bits_per_second,sum/retransmits,sum/omitted,sum/sender
5,0,1.000015,1.0000150203704834,1214190,9713374.10152235,0,28960,938,1403,1500,false,true,0,1.000015,1.0000150203704834,1214190,9713374.10152235,0,false,true
5,1.000015,2.0001,1.0000849962234497,1040100,8320092.823531249,0,28960,594,858,1500,false,true,1.000015,2.0001,1.0000849962234497,1040100,8320092.823531249,0,false,true
5,2.0001,3.000102,1.0000020265579224,1025010,8200063.38209659,0,28960,858,921,1500,false,true,2.0001,3.000102,1.0000020265579224,1025010,8200063.38209659,0,false,true
5,3.000102,4.000077,0.9999750256538391,1042560,8340688.3032369055,0,28960,3583,6146,1500,false,true,3.000102,4.000077,0.9999750256538391,1042560,8340688.3032369055,0,false,true
5,4.000077,5.000112,1.000035047531128,1045630,8364746.836274878,0,28960,3240,5377,1500,false,true,4.000077,5.000112,1.000035047531128,1045630,8364746.836274878,0,false,true
5,5.000112,6.000075,0.9999629855155945,1016160,8129580.912245899,0,28960,2260,3825,1500,false,true,5.000112,6.000075,0.9999629855155945,1016160,8129580.912245899,0,false,true
5,6.000075,7.000013,0.9999380111694336,1030010,8240590.824588393,0,28960,3984,6965,1500,false,true,6.000075,7.000013,0.9999380111694336,1030010,8240590.824588393,0,false,true
5,7.000013,8.000113,1.000100016593933,1016180,8128627.002413866,0,28960,2154,2821,1500,false,true,7.000013,8.000113,1.000100016593933,1016180,8128627.002413866,0,false,true
5,8.000113,9.000113,1,1041110,8328880,0,28960,2342,4179,1500,false,true,8.000113,9.000113,1,1041110,8328880,0,false,true
5,9.000113,10.000113,1,1074250,8594000,0,28960,1854,3074,1500,false,true,9.000113,10.000113,1,1074250,8594000,0,false,true
5,10.000113,11.000082,0.9999690055847168,1064450,8515863.944223583,0,28960,4077,6843,1500,false,true,10.000113,11.000082,0.9999690055847168,1064450,8515863.944223583,0,false,true
5,11.000082,12.000014,0.9999319911003113,1053610,8429453.277842404,0,28960,1224,1907,1500,false,true,11.000082,12.000014,0.9999319911003113,1053610,8429453.277842404,0,false,true
5,12.000014,13.000114,1.000100016593933,1023870,8190140.85000835,0,28960,1633,2788,1500,false,true,12.000014,13.000114,1.000100016593933,1023870,8190140.85000835,0,false,true
5,13.000114,14.000078,0.9999639987945557,1064680,8517746.64914704,0,28960,2993,5003,1500,false,true,13.000114,14.000078,0.9999639987945557,1064680,8517746.64914704,0,false,true
5,14.000078,15.000011,0.9999330043792725,1033220,8266313.806824617,0,28960,3634,6374,1500,false,true,14.000078,15.000011,0.9999330043792725,1033220,8266313.806824617,0,false,true
5,15.000011,16.000074,1.0000629425048828,1037420,8298837.65037067,0,28960,2127,3580,1500,false,true,15.000011,16.000074,1.0000629425048828,1037420,8298837.65037067,0,false,true
5,16.000074,17.000012,0.9999380111694336,1017300,8138904.521173359,0,28960,3362,6097,1500,false,true,16.000074,17.000012,0.9999380111694336,1017300,8138904.521173359,0,false,true
5,17.000012,18.000088,1.0000760555267334,1054950,8438958.170591254,0,28960,1677,2814,1500,false,true,17.000012,18.000088,1.0000760555267334,1054950,8438958.170591254,0,false,true
5,18.000088,19.000079,0.9999909996986389,1070080,8560717.049033308,0,28960,2518,4266,1500,false,true,18.000088,19.000079,0.9999909996986389,1070080,8560717.049033308,0,false,true
5,19.000079,20.000081,1.0000020265579224,1046560,8372463.0327187115,0,28960,814,1135,1500,false,true,19.000079,20.000081,1.0000020265579224,1046560,8372463.0327187115,0,false,true
5,20.000081,21.000013,0.9999319911003113,1058170,8465935.758975804,0,28960,2279,3750,1500,false,true,20.000081,21.000013,0.9999319911003113,1058170,8465935.758975804,0,false,true
5,21.000013,22.00008,1.0000669956207275,1042880,8342481.090300947,0,28960,2204,3746,1500,false,true,21.000013,22.00008,1.0000669956207275,1042880,8342481.090300947,0,false,true
5,22.00008,23.000079,0.9999989867210388,1054150,8433208.545192795,0,28960,3880,6924,1500,false,true,22.00008,23.000079,0.9999989867210388,1054150,8433208.545192795,0,false,true
