streams/0/socket,streams/0/start,streams/0/end,streams/0/seconds,streams/0/bytes,streams/0/bits_per_second,streams/0/omitted,streams/0/sender,sum/start,sum/end,sum/seconds,sum/bytes,sum/bits_per_second,sum/omitted,sum/sender
502,0,1.000013,1.000012993812561,151973216,1215769930.5134056,false,false,0,1.000013,1.000012993812561,151973216,1215769930.5134056,false,false
502,1.000013,2.000013,1,145904916,1167239328,false,false,1.000013,2.000013,1,145904916,1167239328,false,false
502,2.000013,3.000009,0.9999960064888,158820384,1270568146.0281215,false,false,2.000013,3.000009,0.9999960064888,158820384,1270568146.0281215,false,false
502,3.000009,4.000018,1.0000089406967163,188427320,1507405082.7483265,false,false,3.000009,4.000018,1.0000089406967163,188427320,1507405082.7483265,false,false
502,4.000018,5.000009,0.9999909996986389,196255120,1570055090.9689722,false,false,4.000018,5.000009,0.9999909996986389,196255120,1570055090.9689722,false,false
502,5.000009,6.000009,1,187900992,1503207936,false,false,5.000009,6.000009,1,187900992,1503207936,false,false
502,6.000009,7.000014,1.0000050067901611,186466192,1491722067.2606306,false,false,6.000009,7.000014,1.0000050067901611,186466192,1491722067.2606306,false,false
502,7.000014,8.000049,1.000035047531128,204538324,1636249245.5036352,false,false,7.000014,8.000049,1.000035047531128,204538324,1636249245.5036352,false,false
502,8.000049,9.000009,0.9999600052833557,210684312,1685541908.7710333,false,false,8.000049,9.000009,0.9999600052833557,210684312,1685541908.7710333,false,false
502,9.000009,10.000008,0.9999989867210388,214295548,1714366121.1311224,false,false,9.000009,10.000008,0.9999989867210388,214295548,1714366121.1311224,false,false
502,10.000008,11.000005,0.9999970197677612,218328032,1746629461.36143,false,false,10.000008,11.000005,0.9999970197677612,218328032,1746629461.36143,false,false
502,11.000005,12.000078,1.000072956085205,218937848,1751375010.5355053,false,false,11.000005,12.000078,1.000072956085205,218937848,1751375010.5355053,false,false
502,12.000078,13.000006,0.9999279975891113,226455644,1811775604.2114925,false,false,12.000078,13.000006,0.9999279975891113,226455644,1811775604.2114925,false,false
502,13.000006,14.00001,1.0000040531158447,218227604,1745813756.0146036,false,false,13.000006,14.00001,1.0000040531158447,218227604,1745813756.0146036,false,false
502,14.00001,15.000007,0.9999970197677612,219482432,1755864688.8845527,false,false,14.00001,15.000007,0.9999970197677612,219482432,1755864688.8845527,false,false
502,15.000007,16.000006,0.9999989867210388,219265780,1754128017.4210153,false,false,15.000007,16.000006,0.9999989867210388,219265780,1754128017.4210153,false,false
502,16.000006,17.000009,1.0000029802322388,206593964,1652746786.4307446,false,false,16.000006,17.000009,1.0000029802322388,206593964,1652746786.4307446,false,false
502,17.000009,18.000008,0.9999989867210388,223969604,1791758647.551341,false,false,17.000009,18.000008,0.9999989867210388,223969604,1791758647.551341,false,false
502,18.000008,19.000009,1.0000009536743164,198580752,1588644500.9505415,false,false,18.000008,19.000009,1.0000009536743164,198580752,1588644500.9505415,false,false
502,19.000009,20.000007,0.9999979734420776,228467492,1827743640.0283537,false,false,19.000009,20.000007,0.9999979734420776,228467492,1827743640.0283537,false,false
502,20.000007,21.000008,1.0000009536743164,195492164,1563935820.5145755,false,false,20.000007,21.000008,1.0000009536743164,195492164,1563935820.5145755,false,false
502,21.000008,22.000009,1.0000009536743164,198793800,1590348883.325116,false,false,21.000008,22.000009,1.0000009536743164,198793800,1590348883.325116,false,false
502,22.000009,23.00001,1.0000009536743164,198773688,1590187987.478558,false,false,22.000009,23.00001,1.0000009536743164,198773688,1590187987.478558,false,false
502,23.00001,24.000012,1.0000020265579224,217054524,1736432673.0186098,false,false,23.00001,24.000012,1.0000020265579224,217054524,1736432673.0186098,false,false
502,24.000012,25.000008,0.9999960064888,232457428,1859666850.6003962,false,false,24.000012,25.000008,0.9999960064888,232457428,1859666850.6003962,false,false
502,25.000008,26.00001,1.0000020265579224,211602428,1692815993.4103374,false,false,25.000008,26.00001,1.0000020265579224,211602428,1692815993.4103374,false,false
502,26.00001,27.000007,0.9999970197677612,224122456,1792984991.5116754,false,false,26.00001,27.000007,0.9999970197677612,224122456,1792984991.5116754,false,false
502,27.000007,28.000772,1.0007649660110474,222971660,1782409797.0874703,false,false,27.000007,28.000772,1.0007649660110474,222971660,1782409797.0874703,false,false
502,28.000772,29.00001,0.9992380142211914,219591916,1758074956.1146388,false,false,28.000772,29.00001,0.9992380142211914,219591916,1758074956.1146388,false,false
502,29.00001,30.000011,1.0000009536743164,207440668,1659523761.3548114,false,false,29.00001,30.000011,1.0000009536743164,207440668,1659523761.3548114,false,false
502,30.000011,31.000012,1.0000009536743164,262910088,2103278698.1571252,false,false,30.000011,31.000012,1.0000009536743164,262910088,2103278698.1571252,false,false
502,31.000012,32.000384,1.000372052192688,242111172,1936169020.0706682,false,false,31.000012,32.000384,1.000372052192688,242111172,1936169020.0706682,false,false
502,32.000384,33.000009,0.999625027179718,253737068,2030657985.5518706,false,false,32.000384,33.000009,0.999625027179718,253737068,2030657985.5518706,false,false
502,33.000009,34.000022,1.000012993812561,249025892,1992181249.9702504,false,false,33.000009,34.000022,1.000012993812561,249025892,1992181249.9702504,false,false
502,34.000022,35.000008,0.9999859929084778,243051592,1944439971.9486465,false,false,34.000022,35.000008,0.9999859929084778,243051592,1944439971.9486465,false,false
502,35.000008,36.00001,1.0000020265579224,225481768,1803850488.392502,false,false,35.000008,36.00001,1.0000020265579224,225481768,1803850488.392502,false,false
502,36.00001,37.000008,0.9999979734420776,220193828,1761554193.8916073,false,false,36.00001,37.000008,0.9999979734420776,220193828,1761554193.8916073,false,false
